"3",50000,6,2,1,1,2,16,45,74
"4",60000,5,6,2,1,2,16,32,66
"5",30000,5,4,2,1,2,16,61,64
"7",50000,5,3,2,3,2,16,99,63
"9",51000,5,3,2,1,2,17,51,63
"10",9000,5,4,2,1,2,15,64,64
"11",29000,5,2,2,1,2,12,41,62
"12",32000,6,1,1,1,2,17,44,73
"13",2000,6,0,1,1,1,15,69,72
"15",27000,6,0,1,1,2,12,64,72
"16",6530,5,10,1,1,2,16,25,70
"18",30000,5,8,1,1,2,11,56,68
"19",12000,5,8,1,1,2,12,63,68
"21",12000,5,5,2,1,2,12,39,65
"26",22000,5,6,2,1,2,16,55,66
"29",17000,5,8,1,1,2,12,32,68
"30",40000,5,8,2,1,2,14,61,68
"31",44000,5,10,1,1,2,13,46,70
"33",7000,5,4,2,2,2,12,35,64
"34",53000,6,1,1,2,2,13,55,73
"36",5000,5,2,2,1,2,13,39,62
"38",14000,5,3,2,1,2,14,69,63
"40",5500,5,7,1,1,2,14,68,67
"41",40000,5,6,2,1,2,12,49,66
"42",34000,6,0,1,1,2,12,45,72
"45",10000,5,3,2,2,2,12,55,63
"47",27000,5,4,2,1,2,16,30,64
"51",50000,6,0,1,1,2,16,52,72
"53",41000,6,5,1,1,2,16,57,77
"55",15000,5,4,2,1,2,14,65,64
"56",25000,5,4,2,1,2,12,57,64
"58",75000,6,0,1,1,2,17,51,72
"60",27000,5,8,1,1,2,17,59,68
"61",12000,5,4,2,1,2,12,64,64
"63",7500,5,1,2,1,2,14,12,61
"67",30000,5,7,2,2,2,14,59,67
"68",21000,5,5,2,1,2,12,33,65
"69",27000,5,4,2,1,2,14,64,64
"71",3000,5,7,2,1,2,15,25,67
"72",25000,5,5,2,1,2,12,60,65
"73",24000,5,5,2,1,2,12,49,65
"74",32000,5,7,2,1,2,18,61,67
"77",10000,5,8,2,1,2,17,60,68
"79",11000,5,0,2,1,1,12,69,60
"80",18700,5,5,2,1,2,13,58,65
"81",20000,5,2,2,1,2,12,61,62
"82",3500,6,0,1,1,2,10,72,72
"84",13000,5,7,1,2,2,8,34,67
"86",25000,5,10,1,1,2,12,25,70
"87",21000,5,10,1,1,2,17,49,70
"88",34000,5,8,2,1,2,17,41,68
"91",6000,5,0,2,1,2,12,25,60
"92",17000,5,11,1,1,2,12,62,71
"94",35000,5,11,1,1,2,12,58,71
"95",4000,6,1,1,1,2,13,72,73
"97",14000,5,8,2,1,2,14,35,68
"98",10000,5,6,2,1,2,12,33,66
"113",3840,5,7,2,1,2,9,38,67
"115",22000,5,11,1,1,2,12,51,71
"116",200,5,0,2,1,2,16,37,60
"117",26000,5,6,2,1,2,16,63,66
"118",2500,5,6,2,1,2,15,69,66
"119",17000,5,5,2,1,2,14,51,65
"121",8000,5,10,2,1,2,13,68,70
"124",12000,5,6,2,1,2,13,22,66
"125",10000,5,2,2,1,2,12,43,62
"128",10000,5,6,2,1,2,15,23,66
"130",15000,6,0,1,1,2,12,51,72
"136",2400,5,7,2,1,1,8,51,67
"137",30000,5,8,1,1,1,12,58,68
"138",30000,5,10,1,1,2,12,57,70
"139",10000,5,2,2,1,2,12,52,62
"141",5000,5,3,2,1,2,13,64,63
"142",12000,5,6,2,1,2,13,27,66
"143",20000,5,10,2,1,2,10,29,70
"144",20000,5,8,2,1,2,12,54,68
"145",20000,5,10,1,1,2,14,67,70
"150",1200,5,6,2,1,2,12,70,66
"152",700,5,8,2,1,2,16,58,68
"153",20000,5,10,1,1,2,16,63,70
"154",10000,5,1,2,1,1,12,68,61
"155",30000,5,3,2,1,2,12,17,63
"157",40000,5,4,2,1,2,14,34,64
"158",25000,5,7,1,1,2,12,1,67
"161",10000,5,1,2,1,2,17,11,61
"162",60000,5,9,2,1,2,18,27,69
"165",18000,5,8,2,1,2,12,24,68
"168",16040,5,4,2,1,2,12,57,64
"169",15000,5,7,2,2,2,14,60,67
"170",10000,5,9,1,1,2,17,67,69
"171",33000,5,7,2,1,2,13,47,67
"172",18000,5,8,2,1,2,12,60,68
"173",15000,5,3,2,1,2,12,53,63
"174",21000,5,11,1,1,2,12,68,71
"175",21000,5,4,2,2,2,17,47,64
"176",37000,5,8,1,1,2,11,53,68
"177",38000,5,8,2,1,2,17,46,68
"178",17000,5,6,2,1,1,14,47,66
"182",32000,6,5,1,1,2,16,60,77
"184",27500,5,7,2,1,2,12,32,67
"186",16500,5,2,2,1,2,12,46,62
